ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Electric range (km)
1271866,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXGBW(1C),TOYOTA,TOYOTA RAV4,M1,M1,1,1740,,103,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1271867,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXGBW(1C),TOYOTA,TOYOTA RAV4,M1,M1,1,1740,,103,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1271868,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXGBW(1C),TOYOTA,TOYOTA RAV4,M1,M1,1,1740,,103,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1271869,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXGBW(1C),TOYOTA,TOYOTA RAV4,M1,M1,1,1740,,103,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1271870,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXGBW(1C),TOYOTA,TOYOTA RAV4,M1,M1,1,1740,,103,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1271871,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXGBW(1C),TOYOTA,TOYOTA RAV4,M1,M1,1,1740,,103,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1271872,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXGBW(1C),TOYOTA,TOYOTA RAV4,M1,M1,1,1740,,103,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1271891,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(2C),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,101,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1271892,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(2C),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,101,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1271893,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(2C),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,101,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
